Techstack,Links
"React, Node.js, MongoDB",https://satinder1624.github.io/Portfolio/
"Angular,.NET, SQL Server",https://amnnrajbhar.github.io/info/
"Vue.js, Ruby on Rails, PostgreSQL",https://chaitanya31612.github.io/
"Python, Django, MySQL",https://jayantsadhu.github.io/portfolio/
"Java, Spring Boot, Oracle",https://vaibhav1276.github.io/
"Flutter, Firebase, GraphQL",https://satinder1624.github.io/Portfolio/
"WordPress, PHP, MySQL",https://satinder1624.github.io/Portfolio/
"Magento, PHP, MySQL",https://www.magebees.com/magento-portfolio.html
"React Native, Node.js, MongoDB",https://dainyjose.github.io/my-portfolio/
"iOS, Swift, Core Data",https://shofiq301.github.io/shofiulla/
"Android, Java, Room Persistence",https://asemlab.github.io/
"Kotlin, Android, Firebase",https://tariq2518.github.io/portfolio/
"Android TV, Kotlin, Android NDK",https://nicosnicolaou16.github.io/
"iOS, Swift, ARKit",https://ljw980105.github.io/AppFolio.html
"Cross-platform, Xamarin, Azure",https://marcoscobena.github.io/?i=portfolio
"Backend, Kotlin, Spring Boot",https://jayantsadhu.github.io/portfolio/
"Frontend, TypeScript, Angular",https://annakrolikowska.github.io/portfolio/
"Full-stack, JavaScript, Express.js",https://chaitanya31612.github.io/
"Machine Learning, Python, TensorFlow",https://izharkhanadrali-maker.github.io/portfolio/
"DevOps, Jenkins, Docker",https://gauravanandrai.github.io/gaurvcom/
